local_path,source_page,source_url,sha256,notes
eds/slice_006/Cr_EDS_006.tif,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cr/resource/07fefe20-9a85-4cd0-b853-c1efef52e460/download/cr_eds_006.tif,03689C86E096177405456C0740BE0842543EF82EBB7DF9D1D84B2041869C3532,Native chromium EDS map for slice 006
sem/slice_006/SEM_Image_SliceImage_006.tif,https://nrds.inl.gov/dataset/a617_test6-7_images_sem_image,https://nrds.inl.gov/dataset/a617_test6-7_images_sem-image/resource/59e0165f-9b48-4dd9-94c2-79a2d6ae5c02/download/sem-image-sliceimage-006.tif,19816DE734E2E20B94C732F7E6178D342E2AF872BDD65E9330EBDB8E706D07AC,Native SEM map for slice 006
ebsd/EBSD_SliceImage_006.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd_dat_format/resource/6008ec32-34dd-4376-b99d-593e598dab99/download/ebsd-sliceimage-006.dat,573DA1F9AB287E9B78D4E5ACEDB7504B674023DE7652E872D1CAA0F6FE8113E4,Native EBSD data for slice 006
ebsd/A617_Test_6-7_EBSD.json,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd,https://nrds.inl.gov/dataset/a617_test6-7_ebsd/resource/4eeafeb6-1f16-4a10-b9d4-ad9a80deb2a4/download/a617-test-6-7-ebsd.json,F354F35E1D4C8C967F09A5CBEF996DE66B614C24F6CEA877AEBE44D418A50419,EBSD reconstruction metadata
eds/slice_006/dat/EBSD-SliceImage-006_0_AL.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_al,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_al/resource/c999faa4-0358-4622-adca-c24286735065/download/ebsd-sliceimage-006_0_alk.dat,C1BE968C6AF1DC1ABE9678A0F28027F87B6FCD7C664E9A84B00E1903AD6070F1,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_AL.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_al,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_al/resource/594b2bb9-f307-44ca-b2c5-5a729174967f/download/ebsd-sliceimage-006_al.png,CAF12D13BD765F91C18DF0D37331A416A59A0B46EEEE3A7B0E220E2DC5051B23,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_CL.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cl,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cl/resource/64646060-b6ff-4cde-9668-f86bc52dff98/download/ebsd-sliceimage-006_0_clk.dat,7723BF75F272EFFC0F61CFE50989E4E17706668B5921A2A0054A78C80C88D892,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_CL.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cl,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cl/resource/f69bc44f-7a8e-4f98-aab9-003910b7b1ea/download/ebsd-sliceimage-006_cl.png,5CC7335BE73D32C1AB60AECE045511A8CEB39BA153B789BBCB6138DB54F51A0F,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_CO.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_co,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_co/resource/0d2e6139-34e2-4e71-8efb-59406595a026/download/ebsd-sliceimage-006_0_cok.dat,9A46395303C70D0C7B886F9D298B52C91D25267167D67652194A181F5C9F9546,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_CO.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_co,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_co/resource/532c1db6-8fff-417a-8fb0-3dedce47af68/download/ebsd-sliceimage-006_co.png,23E08D359FFE5AF5186F4BFEEB8AE92526E759671184CA5753992F717C0CCC09,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_CR.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cr,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cr/resource/ca3961f4-524a-4775-b98b-b406468a6020/download/ebsd-sliceimage-006_0_crk.dat,605454EE5E155DD57D2264CDC96D84CBA0E3373680996781961701DC5AC9265D,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_CR.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cr,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cr/resource/843605c5-5904-40af-b880-5d04aead0bc2/download/ebsd-sliceimage-006_cr.png,170179126A1D2FAC32F2A39DEBD5FAA156856FB01D14A3452CA6479775FD74D5,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_F.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_f,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_f/resource/2c9bcb21-26a2-4536-948a-404496fe8e02/download/ebsd-sliceimage-006_0_fk.dat,508B189A60B7128F1B3131A7D6D17EC470B2C967E7262490F87C6D67B4F897FF,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_F.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_f,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_f/resource/813587a2-e105-48a9-ae6c-7acb9aecc442/download/ebsd-sliceimage-006_f.png,31E3FA3714F8A12B36832D57139F59951A1E2EC2199839C994B066FFA03D3656,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_FE.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_fe,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_fe/resource/742132b6-5498-40b7-813c-2c3c9da3caf2/download/ebsd-sliceimage-006_0_fek.dat,94ED026A230B7082A8A727332C2C0FBF24439B84A36DE1B562992BFC2B45C268,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_FE.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_fe,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_fe/resource/a87c6475-51a9-466b-983f-004d2283807a/download/ebsd-sliceimage-006_fe.png,F980297EDB0536689D5F17FBEDE2E79E034B7FC67D48E3AA2869D91B2AF64796,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_MG.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mg,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mg/resource/272d41af-9d0c-4804-b9df-daaaf1b62135/download/ebsd-sliceimage-006_0_mgk.dat,77DA1AA850BB3F75D4FB7925CB5FCB82395407AC6926294FED25204455C5C779,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_MG.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mg,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mg/resource/ca6bc6f2-20ec-4890-83c1-c6065bf42c6f/download/ebsd-sliceimage-006_mg.png,BB6ED44443471F98F583857C8F26C6EE6CB0F7315EECA410732699B5FE319A91,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_MN.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mn,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mn/resource/7e6b0d63-9357-44d3-b3a4-f1ced36e0c39/download/ebsd-sliceimage-006_0_mnk.dat,9553E9C25D6AA1C554C54740A3082441CC3334FE6DE7D9837492E8EFEE449840,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_MN.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mn,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mn/resource/f46767ec-ded1-46e2-82a8-68e4ed5b6eeb/download/ebsd-sliceimage-006_mn.png,D908DBE17C2F52511E89C9943F98F7482934DB3FE3868BB291B93B2E48C9ADF5,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_MO.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mo,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mo/resource/1624c6a0-5144-4c28-8d61-9d4d14bf620c/download/ebsd-sliceimage-006_0_mom.dat,DD908D2685C7A6F36E148F7D540D93A767E03734F1D47DD0D8FEAC7DFD42FCAD,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_MO.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mo,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mo/resource/e0528b94-3d4a-4310-868a-9e4fb5aefbab/download/ebsd-sliceimage-006_mo.png,E79360854EB109CED9B4C0BCFB4EA6012A4E83138DD74518447D564EE4DFF575,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_NA.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_na,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_na/resource/0f560845-2955-4134-8814-8f77e4a3489e/download/ebsd-sliceimage-006_0_nak.dat,4B97D1BCBB17CF326EC5001002FA5C92D0F819F07066FE9382820C37A17DC473,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_NA.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_na,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_na/resource/e95c6754-135a-47a3-9442-d5283d7b9885/download/ebsd-sliceimage-006_na.png,C9405081DB8EE760DC60040C0A13AEA0B2A73ED58B6D5317E16772F47F7C5183,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_NI.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ni,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ni/resource/be41d46c-1783-4888-bc7b-22ebf7d4d548/download/ebsd-sliceimage-006_0_nik.dat,A5D1C5CF0FCA7A2BA9834E933D258A7752D129C66873058712246BF24DED7D52,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_NI.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ni,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ni/resource/5ef02f27-ebeb-45b7-9cea-52566e6c3445/download/ebsd-sliceimage-006_ni.png,43CD84C3BE5EC7078E20F04614A27247989468D3B93E9B9B0E6C81DF38810F3B,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_O.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_o,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_o/resource/587de027-e44d-41ba-9750-71b9e0f6e0b3/download/ebsd-sliceimage-006_0_ok.dat,D4ED67A652C2DAE97CD89B618FFE917FA532231771C0CA59CB7E6D9039C568FE,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_O.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_o,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_o/resource/9f0fc274-d1e9-4d17-956e-43d083527616/download/ebsd-sliceimage-006_o.png,0384FBB09588FA81D508938CDA5E908471BC76F5A1219F490138990D9ABAB4C1,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_SI.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_si,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_si/resource/279d8a66-ecc0-4e22-801e-64cb5f9bf923/download/ebsd-sliceimage-006_0_sik.dat,03673308AA2C2691B9B1F4EF513BB3FB7DFE3C954ECCC997CF05960670E7CBED,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_SI.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_si,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_si/resource/8b040593-d74d-45e9-b710-d0e8d90e6563/download/ebsd-sliceimage-006_si.png,57FD24502FB34520236C9CD7F7DD687933FE112A3839DE3A412B79A49D5EE4FF,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_TI.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ti,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ti/resource/a49191c5-0aaa-4a46-8007-83a3e6a8f6b4/download/ebsd-sliceimage-006_0_tik.dat,3B3A45BC9CB78C059D1F2B96348CD2336B6F9C0E5BE11B9F543EBFCBA2354CD7,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_TI.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ti,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ti/resource/723d6738-4e84-45f3-a9ce-db1c4cb9e005/download/ebsd-sliceimage-006_ti.png,0874F58547CA40FFF0E0B36F356979356532D3103FCB5E8B8D5F8DE2D59A1116,Slice 006 rendered EDS preview
eds/slice_006/dat/EBSD-SliceImage-006_0_W.dat,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_w,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_w/resource/63da23e7-e667-4216-ad0f-6086f4d50d9e/download/ebsd-sliceimage-006_0_wl.dat,1FACBDC4D01C3D24C497DC2AA8604FA728C1519BCE5027281D4DC1D64A054B16,Slice 006 numeric EDS element map
eds/slice_006/png/EBSD-SliceImage-006_W.png,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_w,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_w/resource/0663eb28-04d4-4d68-88eb-54c2a797d3c0/download/ebsd-sliceimage-006_w.png,61E29E138A24AA74DAB75BEE6972E27FE34057E724B4434FEB926128E20B00F0,Slice 006 rendered EDS preview
